문장 번호,문장,포함된 단어
1,This is my aunt.,aunt
3,The boy is my twelve-year-old brother.,boy
4,I exercise every morning.,exercise
5,The girl is my smart sister.,girl
6,Let me introduce my cousin to you.,introduce
7,We all learn by doing things.,learn
8,I’m going to run a marathon.,run a marathon
9,Let's visit the museum.,visit
10,The woman is my mom and she found my key.,woman
11,Let's play the recorder every day.,record
12,Just sit down and relax for an hour.,relax
13,My car is being repaired by a mechanic.,repair
15,He is reporting the news on TV.,report
16,The firefighters rescued children from the burning building.,rescue
17,The result did not satisfy me.,result
18,I reviewed the book before the test.,review
20,The book is boring.,boring
22,I’m eating in the desert.,desert
27,Bring the brush.,brush
29,You must wear your helmet when playing baseball.,helmet
31,You must stand in line at bus stop.,line
32,I’m counting numbers on my phone.,number
33,Can you get the phone for me?,phone
34,"Your voice is too loud, please be quiet.",quiet
37,They are artists who love making art.,art
38,I was present at my class.,class
39,Jenny is my classmate and so are friends.,classmate
40,I must study English every day.,English
41,I have to do my homework.,homework
42,My favorite subject is math and I like art.,math
43,P.E. is my favorite subject at school.,P.E.
44,I like science very much and want to be a scientist.,science
45,I’m a student and I look happy.,student
46,My textbook is on the desk.,textbook
48,We swam in the clear water.,clear
49,I can’t hear your voice.,hear
51,I should pay these bills this month.,pay
52,I go to the church to pray.,pray
53,"Take care, stay home and sit down.",stay
54,Don’t tear the letter; she is crying.,tear
55,I ordered a medium size shirt.,size
56,This size is small for me.,small
57,"I ordered a medium, not a large.",medium
60,My friend's hobby is drawing cartoons.,hobby
62,He has a talent for singing songs.,talent
64,Your health is very important.,important
65,"You win some, you lose some.",lose
66,She is picking the plant that grows flowers.,plant
68,We can travel by spaceship.,space
69,"They want water, bring me some.",water
70,"You win some, you lose some.",win
71,My room is clean now.,clean
72,The wall is dirty.,dirty
73,I’m full after eating my lunch.,full
74,My bowl is empty.,empty
78,Jack's uniform is different from ours.,different
79,He is blind and needs glasses.,blind
80,He wrote something on my palm.,palm
81,The elephant has red lips.,lip
84,I saw her picture in the magazine.,magazine
85,The girl is my smart sister.,girl
87,Do you want some beef?,beef
88,We should recycle empty bottles.,bottle
89,Do you need a new bowl?,bowl
90,I need a fork.,fork
91,Fill the glass.,glass
92,I need a knife.,knife
94,He put the toast on the plate.,plate
95,I’d like vegetable soup.,soup
96,I need a spoon.,spoon
97,There is a garden in my house.,garden
98,Come inside my house.,inside
99,The sink is new and full of dishes.,sink
100,The soap is soaked while I wash.,soap
101,I’m a cook and I use the stove.,stove
102,What a surprise! is my birthday gift.,surprise
103,There is a toilet in the bathroom.,toilet
105,I brush my teeth and use toothpaste.,toothpaste
106,"I can help you now. 

No problem, welcome to my house.",welcome
107,"I’m sorry, but I have to cancel.",cancel
108,They are my clothes at the store.,clothes
109,We are collecting money for charity.,collect
113,She is wearing glasses and they can break.,glasses
115,It's fall and Brad dropped his ice cream.,drop
116,We must watch out for fire.,fire
117,The rock is rocking very hard.,rock
119,His arms are strong and very brave.,strong
121,We’re honest and like telling jokes.,tell
122,I like both of them.,both
126,The TV reporter did interviews with the movie star.,interview
128,What a surprise! is my birthday gift.,surprise
131,I’m carrying some cans.,carry
132,The cheerleader cheered the boy during the game.,cheer
133,I’m full after eating my lunch.,full
134,Check your work before hanging it up.,hang
135,He is Mark who marked the item.,mark
136,I can raise the letters.,raise
137,He is reporting the news on TV.,report
138,I like visiting the wild animal park.,wild
140,Can you get the dish for me?,dish
141,We sell steak and other types of meat.,meat
142,I’ve seen this movie once.,once
143,"I hope so, it will probably be okay.",probably
144,I’m sprinkling some seeds on it.,seed
145,I sometimes play chess with my sister.,sometimes
146,I would like some vegetables.,vegetable
147,The board is big and I play chess.,board
148,I have chalk on the blackboard.,chalk
149,They are in the classroom at school.,classroom
150,Here is some glue. Fill the glass I have chalk.,glue
151,They have notebooks and pencils at school.,notebook
152,They cut the paper and drew a circle.,paper
153,Here is a pencil case belonging to him.,pencil case
154,I go to school and ride my bike.,school
155,Here is a school bag.,school bag
156,Here are scissors. Be careful with them.,scissors
158,Let's draw a picture together.,draw
159,Be quiet while we listen to the song.,listen
160,You have to play outside.,play
161,I can raise the letters.,raise
165,I must study English at home tonight.,study
166,Let's write on the blackboard today.,write
167,I’m building a very old building.,building
168,My cousins are my favorite relatives.,cousin
169,This is a baby duck.,duck
170,This goat is black and cute.,goat
171,Ryan is very handsome.,handsome
172,Can you ride a horse that is brown?,horse
173,Isn’t she really lovely? Happy birthday. She is beautiful. Nice to meet you.,lovely
174,The sheep looks cute at the lambs.,sheep
175,You have a cute smile.,smile
177,How about we watch a movie tonight?,about
178,The boring movie ended finally.,end
179,"That's enough, I'm full and have money.",enough
180,Tell me about your morning habits daily.,habit
181,Enjoy your meal while I cook dinner.,meal
183,They are guarding the starting line of the race.,start
184,I often stay up late and get up early.,stay up
185,I eat lots of sweets and sweep them up.,sweets
186,We’re honest and like telling jokes.,tell
187,I want chicken as today's main course.,chicken
188,There is a crack in the cracker.,crack
189,There is something fishy about the fish.,fish
190,I always lounge at the lounge.,lounge
191,The man is too nosy and very sick.,nosy
192,He starts to run the race.,race
193,They go on a trip every weekend.,trip
194,The girl wrinkled her eyebrows while washing face.,wrinkle
195,Jack's uniform is different from ours.,different
199,We need fresh air every day.,fresh
201,Let's have a party at my birthday.,party
202,This cat is little and cute.,little
203,It's a pumpkin and I do not want carrots.,pumpkin
204,The freshly baked bread smells good.,smell
206,My head hurts and it's my hat.,head
208,You should lock your locker.,lock
211,This present is for you.,present
212,She is swinging the swing.,swing
213,The book is boring.,boring
214,We're excited about it was the most exciting game.,exciting
217,I have a pair of shoes and clean socks.,pair
219,"Come here, please.",please
223,"Since he is very diligent, Mr. Jones works hard.",diligent
224,Wet places get wetter and dry places drier.,dry
226,It's a hard ball.,hard
227,I am slow and lazy.,lazy
228,"The manager is guiding us through the store.

I managed this problem by selecting a single statement that meets all the specified requirements.",manage
229,The weather is cold and rainy today.,weather
230,It's wet today because of the rain.,wet
231,I know the answer to your question.,answer
232,You can ask the questions.,ask
233,We must watch out for fire.,fire
234,"You know her, and she's very honest.",know
236,You must wear your helmet when riding bikes.,must
237,I have some questions about my homework.,question
238,I must study English at home tonight.,study
240,Highlight the word on the blackboard carefully.,word
241,The book is boring.,boring
242,It's about two fools who are very foolish.,fool
243,I think the picture is funny.,funny
244,He is hungry.,hungry
245,This book is very interesting.,interesting
247,He is reporting the news.,news
248,It's about a polite man who is handsome.,polite
249,Mary is a smart girl.,smart
250,Look out! I think it's a good idea.,think
251,He is blind and needs glasses.,blind
252,I’m counting numbers and adding six.,count
254,The shoes are flat while I lie.,flat
255,The guide is guiding us.,guide
256,Let's play the recorder every day.,record
257,The sink is new and full of dishes.,sink
258,The TV is wide and very big.,wide
260,The elevator is on your right side.,elevator
263,I’m lying on the floor.,floor
269,I like camping and will go.,camping
271,He has to finish the race first.,finish
272,You have to answer my questions.,have to
273,I have to do my homework.,homework
274,I will go jogging with Brandy.,jogging
275,Let's make a plan for our vacation.,plan
277,Let's visit the museum.,visit
278,I will catch the ball.,will
279,I can't believe the news is true.,believe
282,The couple is marching.,couple
283,The man asked his girlfriend to marry.,marry
284,I need your help right now.,need
285,The problem is simple but not easy. I have to do my homework and open the window.,simple
286,Let's visit the museum.,visit
287,Everyone was against me and stood up.,against
288,Let's go fishing on the island.,island
289,Enjoy your meal while I cook dinner.,meal
290,I’ve seen this movie once.,once
291,He marked her birthday on the calendar.,calendar
292,Don't waste money on useless things.,waste
293,I would like some vegetables.,vegetable
295,Twenty plus twenty is forty.,twenty
296,Thirty plus thirty is sixty.,thirty
297,Forty plus forty is eighty.,forty
299,Thirty plus thirty is sixty.,sixty
300,Thirty plus forty is seventy.,seventy
301,Forty plus forty is eighty.,eighty
302,Forty plus fifty is ninety.,ninety
304,The total comes to three thousand won.,thousand
305,I want butter and milk.,butter
306,I buy some carrots every day.,carrot
307,I don’t like corn.,corn
308,I put onions in the vegetable soup pot.,onion
309,I don’t like pepper on my pizza.,pepper
310,I don’t like potatoes and tomatoes.,potato
311,I added more flour and salt.,salt
312,I don’t like sugar in sweets.,sugar
313,I don’t like tomatoes.,tomato
314,Cut the watermelon in half and serve.,watermelon
315,My boots are blue and black yellow.,boots
316,The button is big and red.,button
317,My new dress fits well on me.,dress
319,I need scissors to cut the ribbon.,ribbon
321,I’m looking for sneakers.,sneakers
323,It's my vest.,vest
324,The zipper is long on this bag.,zipper
325,Don't bite your nails when eating cookies.,bite
326,I'll call you again when I arrive.,call
327,He can’t contact anyone because he forgot.,contact
328,Leaves are falling from the trees.,fall
330,I go to the park.,park
331,I’m shooting at the soccer goal.,shoot
332,The chief manager stores goods in the store.,store
335,The wind is coming from the north.,north
336,"If that way is east, then this way is west.",west
337,"If that way is east, then this way is west.",east
343,The war destroyed my chair.,destroy
345,He is famous because he sings.,famous
346,Let's gather in the classroom room.,gather
348,You may use my pen and computer.,use
349,A ball has a round shape.,shape
350,"Squares, circles, and triangles are all shapes.",triangle
352,Draw a circle on the paper.,circle
353,We see the clouds in the sky.,sky
354,I like to swim in the sea.,sea
355,Children swam and played in the waves.,wave
356,Fish live in the sea and tigers live on land.,land
357,We are going to a concert.,concert
358,"Touch your ear, my father is deaf.",ear
359,I feel tired.,tired
361,They listen to music every day.,music
363,The boring movie ended finally.,end
364,They are artists who love making art.,art
365,Don’t move until I tell you to walk.,move
367,I’ll send you a text message.,message
369,Time is gold when time flies fast.,time
370,This present is for you.,present
371,"The past is important, but the future matters.",past
372,I will be a teacher in the future.,future
373,I'm a cook and boil the water.,boil
377,The gentleman is gentle when patting pets.,gentle
378,I'm shaking a shake while eating ice cream.,shake
379,I tied the necktie.,tie
380,Children swam and played in the waves.,wave
381,Time flies like an arrow when hunting.,arrow
383,My brothers fight with each other every day.,fight
385,The soldier was very brave during war.,soldier
386,Fencing is a sport with a sword.,sword
388,Guns and swords are weapons of war.,weapon
389,Don't bite your nails when eating cookies.,bite
391,They look delicious and love their steak.,delicious
393,My mom decided to go on a diet.,diet
394,Enjoy your meal while I cook dinner.,meal
395,"I’m sorry, but I have to cancel order.",order
396,I’m thirsty. Give me some juice.,thirsty
397,I will catch the ball.,catch
398,I won first prize in the contest.,contest
399,What's the date today? is your birthday.,date
401,I'm good at kicking a ball.,kick
402,He won the match yesterday.,match
403,I’m good at passing a ball.,pass
404,He starts to run the race.,race
405,I reviewed the book before the test.,test
406,Let's throw a ball.,throw
407,I’m building a building.,build
410,Super Dog Carlo is our hero standing.,hero
411,My friend's hobby is drawing cartoons.,hobby
413,Many teenagers experience fast growth during puberty.,teenager
414,Don't waste money on useless things.,waste
415,What do you have behind your back?,back
417,I’m lying on the floor.,floor
418,It is one hour after I arrived home.,hour
422,The restroom is on the third floor.,restroom
424,Go along this way and draw.,way
425,My boots are blue and black yellow.,boots
426,This pencil case is very cheap.,cheap
427,This teddy bear is too expensive.,expensive
428,I’m looking for her jeans.,jeans
429,I like purple when it's sunny outside.,purple
430,Those books are on sale at the market.,sale
