문장 번호,문장,포함된 단어
1,The big red apple fell from the tree.,apple
2,She goes to school every single day.,school
3,She is holding a new book today.,book
4,The kids love to play outside today.,play
5,My best friend loves to play outside.,friend
6,I am happy to see my friends.,happy
7,She will jump very high in the air.,jump
8,The big sun shines in the sky.,sun
9,She drinks water from her favorite bottle.,water
10,The cat is sleeping on the bed.,cat
11,The blind boy had trouble seeing outside.,blind
12,We need to count the number of pencils.,count
13,Please cover your head during thunderstorms outside.,cover
14,The floor of my room is very flat.,flat
15,The map will be my guide today.,guide
16,The teacher made a record of our test.,record
17,The water is filling up the sink.,sink
18,The park has a very wide playground.,wide
19,The water starts to boil very quickly.,boil
20,Please chew your food slowly before eating.,chew
21,The bucket needs to be filled up.,fill
22,Please fold your arms tightly across your chest.,fold
23,The wind was gentle on my face.,gentle
24,She is going to shake her head.,shake
25,The boy wore a colorful tie today.,tie
26,The little girl made a big wave.,wave
27,We will explore the nearby woods tomorrow.,explore
28,The teacher will highlight your best work.,highlight
29,The lead in my pencil is very sharp.,lead
30,The children will take the lift downstairs.,lift
31,The quick cat ran very fast outside today.,quick
32,The door will shut now quietly tonight.,shut
33,She wore a nice suit to school today.,suit
34,"""Please wrap this gift with nice paper.""",wrap
35,We will bake cookies today at home.,bake
36,The math homework is really boring today.,boring
37,Bring your lunch to school tomorrow.,bring
38,The desert is very hot outside today.,desert
39,The kids love to dig in the sand.,dig
40,Please feed the hungry little bird outside.,feed
41,The dog will leave the house now.,leave
42,She will seek help for her broken toy.,seek
43,The fire alarm is ringing loudly now.,alarm
44,The fire will burn very quickly outside.,burn
45,The little girl lit a big candle.,candle
46,The person's voice became faint in silence.,faint
47,She will handle the situation carefully today.,handle
48,The cat's clean bed is very neat.,neat
49,The dog made a big pile outside.,pile
50,Remember to always be safe outside today.,remember
